path	ngenes_tscore	Dx_z	Dx_pval	Dx_pval_BHcorr	genes_path	tissue	class_pathway	type_path	drugBank_ann	drugBank_n	drugBank_id	drugBank_gene	drugBank_usedForSCZ
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	3	4.56650261792883	4.95928847278953e-06	0.000395847497580413	HLA-DQA1,HLA-DQB1,HLA-DPB1	Brain_Caudate_basal_ganglia	pathway P < genes P & genes FDR < 0.05	GO	Insulin pork	1	DB00071	HLA-DQB1	
phosphoprotein phosphatase activity	5	3.04404497245597	0.0023342024373129	0.0472607578083994	PPP3CC,PPP6C,DUSP16,TENC1,PPM1A	Brain_Caudate_basal_ganglia	pathway P < genes P & genes FDR > 0.05	GO		0			
cation channel activity	2	3.39607468303991	0.000683597048986246	0.0235876648323034	GAR1,MCOLN1	Brain_Caudate_basal_ganglia	pathway P < genes P & genes FDR > 0.05	GO		0			
folic acid binding	4	-3.07859086406562	0.00207982094298602	0.0439586846221243	FTCDNL1,GNMT,MTHFS,FTCD	Brain_Caudate_basal_ganglia	pathway P < genes P & genes FDR > 0.05	GO	Tetrahydrofolic acid-and-Glutamic acid-and-Folic acid-and-Methotrexate-and-Sulfasalazine-and-(6R)-Folinic acid-and-Aminopterin-and-Levomefolic acid	8	DB00116-and-DB00142-and-DB00158-and-DB00563-and-DB00795-and-DB03256-and-DB08878-and-DB11256	FTCD-and-SLC46A1	Glutamic acid
spliceosomal complex	2	3.01888882190929	0.00253703615222191	0.048802313400044	SF3B1,LSM4	Brain_Caudate_basal_ganglia	genes P < pathway P	GO	H3B-8800	1	DB14017	SF3B1	
lysosomal membrane	27	5.38558660144513	7.22087565867492e-08	1.27631880315509e-05	PQLC2,DRAM2,RAB7A,WDR41,SLC36A1,NEU1,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DOB,HLA-DPB1,LMBRD1,GNAI1,SLC2A8,PNPLA7,CUBN,SLC29A3,WDR11,SPPL2A,TMEM8A,CTNS,NAPG,NPC1,MCOLN1,MARCH2	Brain_Caudate_basal_ganglia	pathway P < genes P & genes FDR < 0.05	GO	Insulin pork-and-Cyanocobalamin-and-Cystine-and-Glycine-and-Alanine-and-Oseltamivir-and-Hydroxocobalamin-and-Methotrexate-and-Acamprosate-and-Vigabatrin-and-D-glucose-and-Taurine-and-gamma-Aminobutyric acid-and-D-Proline-and-Guanosine-5'-Diphosphate-and-Tetrafluoroaluminate Ion-and-Glatiramer-and-Gaboxadol-and-Spaglumic Acid-and-Hydroxyproline-and-Nipecotic acid-and-Dextrose, unspecified form-and-Fludeoxyglucose (18F)	25	DB00071-and-DB00115-and-DB00138-and-DB00145-and-DB00160-and-DB00198-and-DB00200-and-DB00563-and-DB00659-and-DB01080-and-DB01914-and-DB01956-and-DB02530-and-DB02853-and-DB04315-and-DB04444-and-DB05259-and-DB06554-and-DB08835-and-DB08847-and-DB08849-and-DB09341-and-DB09502	HLA-DQA2-and-HLA-DQB1-and-CUBN-and-CTNS-and-SLC36A1-and-NEU1-and-SLC2A8-and-GNAI1-and-RAB7A-and-HLA-DRB1	Glycine
plasma membrane	213	3.27549978522192	0.00105475194558171	0.0305869310460958	TNFRSF14,CLCNKA,HTR1D,CNKSR1,NKAIN1,INPP5B,ERMAP,SLC5A9,SLC1A7,MCOLN3,SLC44A3,SEMA6C,PIP5K1A,S100A9,ATP1A4,SERPINC1,RAB7L1,CR1,CD46,OR2W3,OR2T8,OR2L13,NTSR2,KCNK3,RTN4,VAMP5,CNNM4,IL18R1,MERTK,RALB,PROC,ITGAV,SEPT2,OXTR,HDAC11,SLC4A7,SCN11A,CDCP1,CAMKV,MST1R,CNTN3,PVRL3,TIGIT,MGLL,RYK,PLCH1,RGS12,CD38,ATP8A1,KDR,PTPN13,SNCA,FAT4,NPY2R,KLKB1,F11,SLC9A3,PTGER4,MAP1B,ARRDC3,KCNN2,SLC27A6,UBE2B,PCDHA4,PCDHA13,PCDHB4,PCDHB10,SLC36A1,FLT4,EXOC2,DTNBP1,BTN3A2,HLA-G,HLA-A,HLA-C,NEU1,C4A,HLA-DRB5,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,TAP2,HLA-DPB1,TULP1,C6orf89,FRS3,ENPP5,MCHR2,RAET1G,SLC22A3,GPR146,KLHL7,OSBPL3,BBS9,CLDN4,ZP3,UPK3B,GNAI1,STEAP2,TRIM4,PILRA,CAV2,MET,ARHGEF5,PSCA,LY6K,PDCD1LG2,AQP7,GBA2,TMEM8B,OR13J1,NAA35,SEMA4D,CTNNAL1,SLC2A8,SEPHS1,NMT2,ITGA8,CUBN,MRC1,PRKG1,TACR2,CDHR1,OPN4,SNCG,FAS,TECTB,ANO9,CDHR5,NCR3LG1,ABCC8,LRP4,DRD2,TMPRSS5,HTR3A,HYLS1,CDON,TULP3,TAPBPL,KLRG1,CLECL1,KLRC2,KLRC1,TAS2R14,ABCC9,ALG10B,LRRK2,RHEBL1,AQP5,LIMA1,TENC1,ERBB3,CMKLR1,FZD10,FLT1,UBL3,FREM2,GPC6,PRKCH,CHRM5,EHD4,TRPM7,SPPL2A,CA12,IGDCC4,DIS3L,CHRNA5,CHRNA3,MTHFS,HOMER2,RCCD1,HMOX2,MGRN1,TNFRSF17,LAT,CDH5,CDH1,PLCG2,MC1R,FAM57A,CRK,CTNS,TAX1BP3,FLCN,ARL4D,ITGB3,GNA13,ABCA8,MIB1,NPC1,CDH19,GNG7,MCOLN1,OR7D2,SLC7A9,CEACAM1,KCNN4,CCDC8,PTGIR,SIGLEC14,GP6,SIRPB1,JAG1,CTSZ,TMEM50B,IGSF5,TRPM2,SNAP29,BCR,CSF2RB,TST,BAIAP2L2	Brain_Caudate_basal_ganglia	genes P < pathway P	GO	Sargramostim-and-Antihemophilic factor, human recombinant-and-Human immunoglobulin G-and-Abciximab-and-Eptifibatide-and-Insulin pork-and-Antithymocyte immunoglobulin (rabbit)-and-Coagulation Factor IX (Recombinant)-and-Oxytocin-and-Technetium Tc-99m arcitumomab-and-Cyanocobalamin-and-Choline-and-L-Glutamine-and-Cystine-and-Glutamic acid-and-Phosphatidyl serine-and-Glycine-and-NADH-and-Alanine-and-Menadione-and-ATP-and-Amphetamine-and-Nicotine-and-Oseltamivir-and-Hydroxocobalamin-and-Eletriptan-and-Glimepiride-and-Ziprasidone-and-Cabergoline-and-Clotrimazole-and-Ropinirole-and-Zolmitriptan-and-Dihydroergotamine-and-Amitriptyline-and-Metformin-and-Methadone-and-Olanzapine-and-Terfenadine-and-Clozapine-and-Norepinephrine-and-Thiethylperazine-and-Treprostinil-and-Trihexyphenidyl-and-Palonosetron-and-Sulpiride-and-Progesterone-and-Sorafenib-and-Ardeparin-and-Loxapine-and-Remoxipride-and-Pramipexole-and-Promazine-and-Prochlorperazine-and-Lansoprazole-and-Droperidol-and-Levothyroxine-and-Prazosin-and-Imipramine-and-Sodium tetradecyl sulfate-and-Quinine-and-Fluoxetine-and-Chlorpromazine-and-Lenalidomide-and-Gallamine triethiodide-and-Buspirone-and-Darifenacin-and-Cimetidine-and-Haloperidol-and-Triflupromazine-and-Dextromethorphan-and-Oxaliplatin-and-Guanidine-and-Nortriptyline-and-Vincristine-and-Amoxapine-and-Lamotrigine-and-Doxapram-and-Benzthiazide-and-Methotrexate-and-Cinnarizine-and-Fondaparinux-and-Atropine-and-Clonidine-and-Lisuride-and-Cisapride-and-Imatinib-and-Nicardipine-and-Fluphenazine-and-Acamprosate-and-Sumatriptan-and-Chlorpropamide-and-Thioridazine-and-Ergotamine-and-Lamivudine-and-Apomorphine-and-Paroxetine-and-Adefovir dipivoxil-and-Procaine-and-Homatropine methylbromide-and-Trimipramine-and-Rocuronium-and-Nateglinide-and-Risperidone-and-Scopolamine-and-Dolasetron-and-Irinotecan-and-Benzquinamide-and-Hydroflumethiazide-and-Tirofiban-and-Propiomazine-and-Estradiol-and-Minaprine-and-Acetazolamide-and-Trifluoperazine-and-Brompheniramine-and-Tolazamide-and-Cysteamine-and-Levamisole-and-Perphenazine-and-Flupentixol-and-Granisetron-and-Ethanol-and-Ondansetron-and-Zonisamide-and-Repaglinide-and-Amantadine-and-Dinoprostone-and-Almotriptan-and-Phenoxybenzamine-and-Misoprostol-and-Mesoridazine-and-Maprotiline-and-Salmeterol-and-Methantheline-and-Naratriptan-and-Rizatriptan-and-Alosetron-and-Formoterol-and-Dopamine-and-Frovatriptan-and-Glyburide-and-Procainamide-and-Tolterodine-and-Carphenazine-and-Melphalan-and-Memantine-and-Acetophenazine-and-Glipizide-and-Promethazine-and-Vigabatrin-and-Iloprost-and-Pentolinium-and-Pimozide-and-Levocabastine-and-Heparin-and-Gliclazide-and-Tolbutamide-and-Doxepin-and-Desipramine-and-Bupropion-and-Halothane-and-Dinoprost tromethamine-and-Escitalopram-and-Domperidone-and-Pergolide-and-Tubocurarine-and-Bromocriptine-and-Ketamine-and-Quetiapine-and-Enoxaparin-and-Levacetylmethadol-and-Metoclopramide-and-Levodopa-and-Aripiprazole-and-Chlorprothixene-and-Epoprostenol-and-Gliquidone-and-Mitiglinide-and-Dasatinib-and-Paliperidone-and-Sunitinib-and-Varenicline-and-Carbetocin-and-Calcium-and-Glymidine-and-Sodium bicarbonate-and-Yohimbine-and-Methotrimeprazine-and-Tiotropium-and-Alizapride-and-Rolicyclidine-and-Metamfetamine-and-Solifenacin-and-Zinc-and-Acepromazine-and-Molindone-and-Pipotiazine-and-Thioproperazine-and-Thiothixene-and-Zuclopenthixol-and-D-glucose-and-Taurine-and-K-252a-and-Myristoyl-Coa-and-S-(2-oxo)pentadecylcoa-and-gamma-Aminobutyric acid-and-Resveratrol-and-3-Indolebutyric Acid-and-S-Mercaptocysteine-and-D-Proline-and-D-Myo-Inositol-1,4-Bisphosphate-and-Guanosine-5'-Diphosphate-and-Phosphoaminophosphonic Acid-Adenylate Ester-and-Tetrafluoroaluminate Ion-and-1,4-Dithiothreitol-and-N-Formylmethionine-and-Niflumic acid-and-Aniracetam-and-1-{4-[4-Amino-6-(4-methoxyphenyl)furo[2,3-d]pyrimidin-5-yl]phenyl}-3-[2-fluoro-5-(trifluoromethyl)phenyl]urea-and-Fluspirilene-and-Tetrabenazine-and-Cediranib-and-Brasofensine-and-Lefradafiban-and-Vatalanib-and-Cilansetron-and-Bifeprunox-and-Bicifadine-and-Stannsoporfin-and-Renzapride-and-Itopride-and-Afamelanotide-and-Iloperidone-and-Lofexidine-and-Peptide YY (3-36)-and-XL999-and-Obinepitide-and-DDP733-and-TG-100801-and-XL820-and-CYC116-and-Beraprost-and-Glatiramer-and-NPI 32101-and-Rotigotine-and-Ecallantide-and-Pimavanserin-and-SR-123781A-and-Histamine-and-CZEN 002-and-Ramucirumab-and-DDP-225-and-FX06-and-BL-1020-and-Gantacurium-and-ALKS 27-and-ACP-104-and-LM-609-and-OSI-930-and-Pegdinetanib-and-Denibulin-and-Resatorvid-and-Amitifadine-and-RAF-265-and-Cariprazine-and-Lumateperone-and-ABT-869-and-NXN-188-and-IMC-1C11-and-YKP-1358-and-Sertindole-and-Mianserin-and-Pizotifen-and-Tapentadol-and-Asenapine-and-Nelipepimut-S-and-Ocaperidone-and-Sulodexide-and-Amisulpride-and-SGX-523-and-Human C1-esterase inhibitor-and-Ticalopride-and-Semaxanib-and-Sarizotan-and-Fradafiban-and-Sumanirole-and-Gaboxadol-and-Pazopanib-and-Midostaurin-and-Bosutinib-and-Axitinib-and-Saredutant-and-Fesoterodine-and-Danaparoid-and-Dalteparin-and-Tinzaparin-and-1-(4-fluorophenyl)-N-[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]-2-oxo-1,2-dihydropyridine-3-carboxamide-and-4-[[2-[[4-chloro-3-(trifluoromethyl)phenyl]amino]-3H-benzimidazol-5-yl]oxy]-N-methyl-pyridine-2-carboxamide-and-N-({4-[(2-aminopyridin-4-yl)oxy]-3-fluorophenyl}carbamoyl)-2-(4-fluorophenyl)acetamide-and-2-(4-fluorophenyl)-N-{[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]carbamoyl}acetamide-and-3-Hydroxypropyl 3-[(7-carbamimidoyl-1-naphthyl)carbamoyl]benzenesulfonate-and-(1R)-2-[(Diaminomethylene)amino]-1-{4-[(4R)-4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl]phenyl}ethyl nicotinate-and-1-(CYCLOHEXYLAMINO)-3-(6-METHYL-3,4-DIHYDRO-1H-CARBAZOL-9(2H)-YL)PROPAN-2-OL-and-(R)-1-(4-(4-(Hydroxymethyl)-1,3,2-dioxaborolan-2-YL)phenethyl)guanidine-and-6-CARBAMIMIDOYL-4-(3-HYDROXY-2-METHYL-BENZOYLAMINO)-NAPHTHALENE-2-CARBOXYLIC ACID METHYL ESTER-and-(R)-1-(4-(4-(Hydroxymethyl)-1,3,2-dioxaborolan-2-YL)phenyl)guanidine-and-N-(4-phenoxyphenyl)-2-[(pyridin-4-ylmethyl)amino]nicotinamide-and-N-(7-CARBAMIMIDOYL-NAPHTHALEN-1-YL)-3-HYDROXY-2-METHYL-BENZAMIDE-and-N-cyclopropyl-6-[(6,7-dimethoxyquinolin-4-yl)oxy]naphthalene-1-carboxamide-and-N-(4-chlorophenyl)-2-[(pyridin-4-ylmethyl)amino]benzamide-and-4-METHYL-PENTANOIC ACID {1-[4-GUANIDINO-1-(THIAZOLE-2-CARBONYL)-BUTYLCARBAMOYL]-2-METHYL-PROPYL}-AMIDE-and-6-chloro-N-pyrimidin-5-yl-3-{[3-(trifluoromethyl)phenyl]amino}-1,2-benzisoxazole-7-carboxamide-and-N-(CYCLOPROPYLMETHYL)-4-(METHYLOXY)-3-({5-[3-(3-PYRIDINYL)PHENYL]-1,3-OXAZOL-2-YL}AMINO)BENZENESULFONAMIDE-and-N-[5-(ETHYLSULFONYL)-2-METHOXYPHENYL]-5-[3-(2-PYRIDINYL)PHENYL]-1,3-OXAZOL-2-AMINE-and-N-(3-chlorophenyl)-N-methyl-2-oxo-3-[(3,4,5-trimethyl-1H-pyrrol-2-yl)methyl]-2H-indole-5-sulfonamide-and-3-(2-aminoquinazolin-6-yl)-1-(3,3-dimethylindolin-6-yl)-4-methylpyridin-2(1H)-one-and-3-(2-aminoquinazolin-6-yl)-4-methyl-1-[3-(trifluoromethyl)phenyl]pyridin-2(1H)-one-and-N'-(6-aminopyridin-3-yl)-N-(2-cyclopentylethyl)-4-methyl-benzene-1,3-dicarboxamide-and-Epibatidine-and-(Z)-3-BENZYL-5-(2-HYDROXY-3-NITROBENZYLIDENE)-2-THIOXOTHIAZOLIDIN-4-ONE-and-(R)-1-(4-(4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl)benzyl)guanidine-and-3-[3-(4-methylpiperazin-1-yl)-7-(trifluoromethyl)quinoxalin-5-yl]phenol-and-N~4~-methyl-N~4~-(3-methyl-1H-indazol-6-yl)-N~2~-(3,4,5-trimethoxyphenyl)pyrimidine-2,4-diamine-and-AMG-208-and-2-({6-[(3-Chlorophenyl)amino]-9-isopropyl-9H-purin-2-yl}amino)ethanol-and-N~4~-(3-methyl-1H-indazol-6-yl)-N~2~-(3,4,5-trimethoxyphenyl)pyrimidine-2,4-diamine-and-1-[(2-NITROPHENYL)SULFONYL]-1H-PYRROLO[3,2-B]PYRIDINE-6-CARBOXAMIDE-and-Nadroparin-and-Lurasidone-and-Spaglumic Acid-and-Tetraethylammonium-and-Agmatine-and-Serotonin-and-Tyramine-and-Ellagic acid-and-Hydroxyproline-and-Nipecotic acid-and-Crizotinib-and-Cabozantinib-and-Linagliptin-and-Regorafenib-and-Aclidinium-and-Ponatinib-and-Perospirone-and-Bromopride-and-Cytisine-and-Atosiban-and-Cannabidiol-and-Vortioxetine-and-Umeclidinium-and-Lenvatinib-and-Nintedanib-and-Quinagolide-and-Brexpiprazole-and-Copper-and-Cupric Chloride-and-Protamine sulfate-and-Dosulepin-and-Etoperidone-and-AS-8112-and-Limaprost-and-Nicorandil-and-Polaprezinc-and-Blonanserin-and-Melperone-and-Zotepine-and-Conestat alfa-and-Bemiparin-and-Technetium Tc-99m tilmanocept-and-Pipamperone-and-Ramosetron-and-Talniflumate-and-Daratumumab-and-Kappadione-and-Dextrose, unspecified form-and-Glycerin-and-Magnesium carbonate-and-Thiosulfuric acid-and-Fludeoxyglucose (18F)-and-Foreskin fibroblast (neonatal)-and-Castor oil-and-Homatropine-and-Thonzylamine-and-Dihydro-alpha-ergocryptine-and-Coccidioides immitis spherule-and-Thrombin-and-Selexipag-and-Human thrombin-and-Antithrombin III human-and-Tucatinib-and-Bremelanotide-and-Tropisetron-and-Tenapanor-and-Capmatinib-and-Fostamatinib-and-Pardoprunox-and-Tetrahydropalmatine-and-Erdafitinib-and-Tivantinib-and-Brigatinib-and-Propiverine-and-Foretinib-and-Piribedil-and-Raclopride-and-JNJ-37822681-and-Amuvatinib-and-Gabexate-and-Grapiprant-and-Tiapride-and-Protein S human-and-Coagulation Factor IX Human-and-Antihemophilic factor human-and-Rociverine-and-Relcovaptan-and-Testosterone cypionate-and-Testosterone enanthate-and-Estradiol acetate-and-Estradiol benzoate-and-Estradiol cypionate-and-Estradiol dienanthate-and-Estradiol valerate-and-Lonoctocog alfa-and-Moroctocog alfa-and-Choline salicylate-and-Aripiprazole lauroxil-and-Zinc acetate-and-Magnesium-and-Zinc chloride-and-Zinc sulfate, unspecified form-and-Lanadelumab-and-Turoctocog alfa pegol-and-Isatuximab-and-Ripretinib-and-Ferric maltol-and-Selpercatinib	542	DB00020-and-DB00025-and-DB00028-and-DB00054-and-DB00063-and-DB00071-and-DB00098-and-DB00100-and-DB00107-and-DB00113-and-DB00115-and-DB00122-and-DB00130-and-DB00138-and-DB00142-and-DB00144-and-DB00145-and-DB00157-and-DB00160-and-DB00170-and-DB00171-and-DB00182-and-DB00184-and-DB00198-and-DB00200-and-DB00216-and-DB00222-and-DB00246-and-DB00248-and-DB00257-and-DB00268-and-DB00315-and-DB00320-and-DB00321-and-DB00331-and-DB00333-and-DB00334-and-DB00342-and-DB00363-and-DB00368-and-DB00372-and-DB00374-and-DB00376-and-DB00377-and-DB00391-and-DB00396-and-DB00398-and-DB00407-and-DB00408-and-DB00409-and-DB00413-and-DB00420-and-DB00433-and-DB00448-and-DB00450-and-DB00451-and-DB00457-and-DB00458-and-DB00464-and-DB00468-and-DB00472-and-DB00477-and-DB00480-and-DB00483-and-DB00490-and-DB00496-and-DB00501-and-DB00502-and-DB00508-and-DB00514-and-DB00526-and-DB00536-and-DB00540-and-DB00541-and-DB00543-and-DB00555-and-DB00561-and-DB00562-and-DB00563-and-DB00568-and-DB00569-and-DB00572-and-DB00575-and-DB00589-and-DB00604-and-DB00619-and-DB00622-and-DB00623-and-DB00659-and-DB00669-and-DB00672-and-DB00679-and-DB00696-and-DB00709-and-DB00714-and-DB00715-and-DB00718-and-DB00721-and-DB00725-and-DB00726-and-DB00728-and-DB00731-and-DB00734-and-DB00747-and-DB00757-and-DB00762-and-DB00767-and-DB00774-and-DB00775-and-DB00777-and-DB00783-and-DB00805-and-DB00819-and-DB00831-and-DB00835-and-DB00839-and-DB00847-and-DB00848-and-DB00850-and-DB00875-and-DB00889-and-DB00898-and-DB00904-and-DB00909-and-DB00912-and-DB00915-and-DB00917-and-DB00918-and-DB00925-and-DB00929-and-DB00933-and-DB00934-and-DB00938-and-DB00940-and-DB00952-and-DB00953-and-DB00969-and-DB00983-and-DB00988-and-DB00998-and-DB01016-and-DB01035-and-DB01036-and-DB01038-and-DB01042-and-DB01043-and-DB01063-and-DB01067-and-DB01069-and-DB01080-and-DB01088-and-DB01090-and-DB01100-and-DB01106-and-DB01109-and-DB01120-and-DB01124-and-DB01142-and-DB01151-and-DB01156-and-DB01159-and-DB01160-and-DB01175-and-DB01184-and-DB01186-and-DB01199-and-DB01200-and-DB01221-and-DB01224-and-DB01225-and-DB01227-and-DB01233-and-DB01235-and-DB01238-and-DB01239-and-DB01240-and-DB01251-and-DB01252-and-DB01254-and-DB01267-and-DB01268-and-DB01273-and-DB01282-and-DB01373-and-DB01382-and-DB01390-and-DB01392-and-DB01403-and-DB01409-and-DB01425-and-DB01549-and-DB01577-and-DB01591-and-DB01593-and-DB01614-and-DB01618-and-DB01621-and-DB01622-and-DB01623-and-DB01624-and-DB01914-and-DB01956-and-DB02152-and-DB02180-and-DB02271-and-DB02530-and-DB02709-and-DB02740-and-DB02761-and-DB02853-and-DB03158-and-DB04315-and-DB04395-and-DB04444-and-DB04447-and-DB04464-and-DB04552-and-DB04599-and-DB04727-and-DB04842-and-DB04844-and-DB04849-and-DB04857-and-DB04863-and-DB04879-and-DB04885-and-DB04888-and-DB04889-and-DB04912-and-DB04917-and-DB04924-and-DB04931-and-DB04946-and-DB04948-and-DB05004-and-DB05014-and-DB05045-and-DB05049-and-DB05075-and-DB05146-and-DB05198-and-DB05229-and-DB05259-and-DB05264-and-DB05271-and-DB05311-and-DB05316-and-DB05361-and-DB05381-and-DB05479-and-DB05578-and-DB05642-and-DB05685-and-DB05687-and-DB05710-and-DB05752-and-DB05766-and-DB05787-and-DB05913-and-DB05931-and-DB05932-and-DB05943-and-DB05964-and-DB05984-and-DB06016-and-DB06077-and-DB06080-and-DB06096-and-DB06101-and-DB06109-and-DB06144-and-DB06148-and-DB06153-and-DB06204-and-DB06216-and-DB06226-and-DB06229-and-DB06271-and-DB06288-and-DB06314-and-DB06404-and-DB06422-and-DB06436-and-DB06454-and-DB06472-and-DB06477-and-DB06554-and-DB06589-and-DB06595-and-DB06616-and-DB06626-and-DB06660-and-DB06702-and-DB06754-and-DB06779-and-DB06822-and-DB06896-and-DB06938-and-DB06995-and-DB06997-and-DB07022-and-DB07023-and-DB07061-and-DB07071-and-DB07074-and-DB07077-and-DB07183-and-DB07212-and-DB07274-and-DB07288-and-DB07299-and-DB07326-and-DB07333-and-DB07334-and-DB07369-and-DB07514-and-DB07528-and-DB07537-and-DB07720-and-DB07838-and-DB07887-and-DB07969-and-DB08042-and-DB08079-and-DB08325-and-DB08519-and-DB08791-and-DB08813-and-DB08815-and-DB08835-and-DB08837-and-DB08838-and-DB08839-and-DB08841-and-DB08846-and-DB08847-and-DB08849-and-DB08865-and-DB08875-and-DB08882-and-DB08896-and-DB08897-and-DB08901-and-DB08922-and-DB09018-and-DB09028-and-DB09059-and-DB09061-and-DB09068-and-DB09076-and-DB09078-and-DB09079-and-DB09097-and-DB09128-and-DB09130-and-DB09131-and-DB09141-and-DB09167-and-DB09194-and-DB09207-and-DB09211-and-DB09220-and-DB09221-and-DB09223-and-DB09224-and-DB09225-and-DB09228-and-DB09258-and-DB09266-and-DB09286-and-DB09290-and-DB09295-and-DB09331-and-DB09332-and-DB09341-and-DB09462-and-DB09481-and-DB09499-and-DB09502-and-DB10770-and-DB11113-and-DB11181-and-DB11235-and-DB11274-and-DB11294-and-DB11300-and-DB11362-and-DB11571-and-DB11598-and-DB11652-and-DB11653-and-DB11699-and-DB11761-and-DB11791-and-DB12010-and-DB12061-and-DB12093-and-DB12147-and-DB12200-and-DB12267-and-DB12278-and-DB12307-and-DB12478-and-DB12518-and-DB12579-and-DB12742-and-DB12831-and-DB12836-and-DB13025-and-DB13149-and-DB13152-and-DB13192-and-DB13581-and-DB13929-and-DB13943-and-DB13944-and-DB13952-and-DB13953-and-DB13954-and-DB13955-and-DB13956-and-DB13998-and-DB13999-and-DB14006-and-DB14185-and-DB14487-and-DB14513-and-DB14533-and-DB14548-and-DB14597-and-DB14738-and-DB14811-and-DB14840-and-DB15598-and-DB15685	CSF2RB-and-PROC-and-C4A-and-ITGB3-and-HLA-DQA2-and-HLA-DQB1-and-ITGAV-and-F11-and-OXTR-and-CEACAM1-and-CUBN-and-SLC22A3-and-SLC44A3-and-SLC7A9-and-CTNS-and-SLC1A7-and-ATP8A1-and-SLC36A1-and-HMOX2-and-ABCC9-and-ABCC8-and-DRD2-and-CHRNA3-and-CHRNA5-and-NEU1-and-HTR1D-and-CHRM5-and-HTR3A-and-KCNN4-and-PTGIR-and-FLT4-and-KDR-and-FLT1-and-SERPINC1-and-CDH5-and-KCNK3-and-CA12-and-BCR-and-NPY2R-and-SCN11A-and-PTGER4-and-NTSR2-and-S100A9-and-SLC4A7-and-KLKB1-and-SLC2A8-and-MET-and-NMT2-and-SNCA-and-HLA-A-and-TST-and-INPP5B-and-GNAI1-and-TRPM7-and-CLCNKA-and-MC1R-and-HLA-DRB1-and-TACR2-and-MERTK-and-MRC1-and-CD38-and-AQP7-and-ERBB3-and-SLC9A3-and-LRRK2-and-MST1R	Glutamic acid-and-Glycine-and-Ziprasidone-and-Olanzapine-and-Clozapine-and-Sulpiride-and-Loxapine-and-Remoxipride-and-Prochlorperazine-and-Imipramine-and-Chlorpromazine-and-Haloperidol-and-Thioridazine-and-Risperidone-and-Flupentixol-and-Mesoridazine-and-Carphenazine-and-Quetiapine-and-Aripiprazole-and-Chlorprothixene-and-Paliperidone-and-Methotrimeprazine-and-Thioproperazine-and-Thiothixene-and-Zuclopenthixol-and-Fluspirilene-and-Bifeprunox-and-Iloperidone-and-Pimavanserin-and-BL-1020-and-ACP-104-and-Cariprazine-and-Lumateperone-and-YKP-1358-and-Sertindole-and-Asenapine-and-Ocaperidone-and-Amisulpride-and-Sarizotan-and-Lurasidone-and-Agmatine-and-Perospirone-and-Brexpiprazole-and-Blonanserin-and-Melperone-and-Zotepine-and-Aripiprazole lauroxil
mitochondrial electron transport, NADH to ubiquinone	6	-3.31616610776086	0.000912615674620314	0.0289332969435181	NDUFS1,NDUFA10,NDUFS3,NDUFAF1,COQ9,NDUFA6	Brain_Caudate_basal_ganglia	pathway P < genes P & genes FDR > 0.05	GO	NADH-and-Doxorubicin	5	DB00157-and-DB00997	NDUFA10-and-NDUFA6-and-NDUFS1-and-NDUFS3	
GTP biosynthetic process	3	-3.58265316333877	0.000340122071398406	0.0135416043310249	NME4,NME3,NME1-NME2	Brain_Caudate_basal_ganglia	pathway P < genes P & genes FDR > 0.05	GO		0			
rRNA processing	12	3.20642472211162	0.00134395463401288	0.0323021064594246	NSUN4,GAR1,NSA2,FBLL1,NOL6,DDX51,NOP10,RPS17,EXOSC6,UTP18,FTSJ3,YBEY	Brain_Caudate_basal_ganglia	pathway P < genes P & genes FDR < 0.05	GO	(S)-3-phenyllactic acid-and-Anisomycin-and-Puromycin-and-Artenimol	7	DB02494-and-DB07374-and-DB08437-and-DB11638	RPL23-and-RPL35-and-RPS17-and-RPS18-and-RPS9	
protein targeting to membrane	2	3.21176200496273	0.00131923614395423	0.0323021064594246	RTP4,SEC63	Brain_Caudate_basal_ganglia	pathway P < genes P & genes FDR > 0.05	GO		0			
response to unfolded protein	4	6.48241431373354	9.02663512009925e-11	7.72679966280496e-08	HSPB7,CREB3L4,HSPE1,TOR1B	Brain_Caudate_basal_ganglia	pathway P < genes P & genes FDR < 0.05	GO	Phenethyl Isothiocyanate	1	DB12695	HSPE1	
mitotic G2 DNA damage checkpoint	2	-6.22039954608896	4.95890471172021e-10	2.12241121661625e-07	IER3,MRE11A	Brain_Caudate_basal_ganglia	genes P < pathway P	GO		0			
synapsis	3	3.04246711551131	0.00234647454072076	0.0472607578083994	MAEL,MRE11A,MEIOB	Brain_Caudate_basal_ganglia	pathway P < genes P & genes FDR > 0.05	GO		0			
reciprocal meiotic recombination	3	-3.4315302484648	0.000600186192639637	0.0218621013148736	PMS1,MRE11A,RAD51C	Brain_Caudate_basal_ganglia	genes P < pathway P	GO		0			
