path	ngenes_tscore	CAD_HARD_z_t	CAD_HARD_pval	CAD_HARD_BHcorr	genes_path	tissue	replicated	class_pathway	type_path	drugBank_ann	drugBank_n	drugBank_id	drugBank_gene	drugBank_usedForCAD
positive regulation of determination of dorsal identity	2	3.5076896401777	0.000452016054210345	0.0485069728174476	CTNNB1,MAPK8	Adipose_Subcutaneous	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Tamoxifen-and-Pyrazolanthrone-and-Urea-and-6-CHLORO-9-HYDROXY-1,3-DIMETHYL-1,9-DIHYDRO-4H-PYRAZOLO[3,4-B]QUINOLIN-4-ONE-and-2-({2-[(3-HYDROXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)BENZAMIDE-and-N-(4-AMINO-5-CYANO-6-ETHOXYPYRIDIN-2-YL)-2-(4-BROMO-2,5-DIMETHOXYPHENYL)ACETAMIDE-and-5-CYANO-N-(2,5-DIMETHOXYBENZYL)-6-ETHOXYPYRIDINE-2-CARBOXAMIDE-and-2-fluoro-6-{[2-({2-methoxy-4-[(methylsulfonyl)methyl]phenyl}amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino}benzamide	8	DB00675-and-DB01782-and-DB03904-and-DB07218-and-DB07268-and-DB07272-and-DB07276-and-DB07845	MAPK8-and-CTNNB1	
endosome organization	3	3.95519669331318	7.64717101121916e-05	0.0242852302256289	ALS2,FAM109A,RAB5C	Adipose_Visceral_Omentum	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
ectoderm development	2	-4.27013776426096	1.9535226254017e-05	0.0108567019906699	BMPR1A,STX2	Adipose_Visceral_Omentum	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Dibotermin alfa	1	DB11639	BMPR1A	
polysaccharide binding	2	-4.39680989911324	1.09853476519925e-05	0.00895599029789652	ENDOU,SUSD2	Adipose_Visceral_Omentum	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
iron ion binding	13	-3.59331714959799	0.000326494790393271	0.0259498059404572	CYP27A1,CYP4V2,KLKB1,CDO1,TYW1,CYP3A5,CYP7B1,NDOR1,CH25H,LEPREL2,NOS2,CYP4F11,CYP2D6	Adrenal_Gland	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Peginterferon alfa-2b-and-Pegvisomant-and-Cyclosporine-and-Arginine-and-Cysteine-and-Ergocalciferol-and-Citrulline-and-NADH-and-Cholecalciferol-and-Fluvoxamine-and-Amphetamine-and-Nicotine-and-Cevimeline-and-Esmolol-and-Bortezomib-and-Tramadol-and-Betaxolol-and-Fluconazole-and-Troglitazone-and-Erythromycin-and-Caffeine-and-Sildenafil-and-Reserpine-and-Ticlopidine-and-Trospium-and-Midodrine-and-Citalopram-and-Eletriptan-and-Nelfinavir-and-Indinavir-and-Reboxetine-and-Nevirapine-and-Ranolazine-and-Dapsone-and-Phenytoin-and-Medrysone-and-Clotrimazole-and-Sulfanilamide-and-Metoprolol-and-Theophylline-and-Argatroban-and-Lidocaine-and-Clemastine-and-Venlafaxine-and-Amcinonide-and-Atomoxetine-and-Bupivacaine-and-Valproic acid-and-Acetaminophen-and-Gefitinib-and-Codeine-and-Amitriptyline-and-Fluorometholone-and-Methadone-and-Olanzapine-and-Atenolol-and-Omeprazole-and-Terfenadine-and-Diltiazem-and-Clobazam-and-Chlorzoxazone-and-Vinorelbine-and-Clozapine-and-Levonorgestrel-and-Mirtazapine-and-Timolol-and-Palonosetron-and-Mexiletine-and-Amlodipine-and-Beclomethasone dipropionate-and-Progesterone-and-Sorafenib-and-Nisoldipine-and-Alprazolam-and-Remoxipride-and-Rosiglitazone-and-Promazine-and-Zolpidem-and-Prochlorperazine-and-Cerivastatin-and-Betamethasone-and-Teniposide-and-Chloramphenicol-and-Lansoprazole-and-Meperidine-and-Loratadine-and-Imipramine-and-Quinine-and-Fluoxetine-and-Duloxetine-and-Chlorpromazine-and-Celecoxib-and-Sotalol-and-Buspirone-and-Entacapone-and-Darifenacin-and-Oxycodone-and-Flutamide-and-Cimetidine-and-Haloperidol-and-Ritonavir-and-Dextromethorphan-and-Carteolol-and-Lercanidipine-and-Erlotinib-and-Cyclophosphamide-and-Mephenytoin-and-Ciprofloxacin-and-Nortriptyline-and-Vincristine-and-Amoxapine-and-Hydroxyzine-and-Carbamazepine-and-Cinnarizine-and-Vinblastine-and-Propranolol-and-Fenfluramine-and-Clonidine-and-Voriconazole-and-Fluticasone propionate-and-Doxazosin-and-Piperazine-and-Labetalol-and-Cisapride-and-Chloroquine-and-Amodiaquine-and-Imatinib-and-Triamcinolone-and-Nicardipine-and-Fluphenazine-and-Testosterone-and-Efavirenz-and-Niacin-and-Dexmedetomidine-and-Prednisone-and-Astemizole-and-Simvastatin-and-Dextropropoxyphene-and-Estrone-and-Trazodone-and-Verapamil-and-Galantamine-and-Tamoxifen-and-Thioridazine-and-Midazolam-and-Mycophenolate mofetil-and-Daunorubicin-and-Nicergoline-and-Eplerenone-and-Amprenavir-and-Delavirdine-and-Tamsulosin-and-Apomorphine-and-Paroxetine-and-Trimipramine-and-Nateglinide-and-Risperidone-and-Meclizine-and-Pentamidine-and-Hydrocortisone-and-Modafinil-and-Epinastine-and-Tranylcypromine-and-Tretinoin-and-Dolasetron-and-Clopidogrel-and-Irinotecan-and-Methimazole-and-Mometasone-and-Etoposide-and-Oxcarbazepine-and-Phenelzine-and-Estradiol-and-Tripelennamine-and-Alfentanil-and-Minaprine-and-Biperiden-and-Tadalafil-and-Disulfiram-and-Diazepam-and-Mifepristone-and-Loperamide-and-Donepezil-and-Clofazimine-and-Perphenazine-and-Terbinafine-and-Vardenafil-and-Ranitidine-and-Tacrolimus-and-Alprenolol-and-Sirolimus-and-Rimexolone-and-Triazolam-and-Ondansetron-and-Bimatoprost-and-Cocaine-and-Quinidine-and-Zonisamide-and-Phenformin-and-Metronidazole-and-Almotriptan-and-Buprenorphine-and-Cyclobenzaprine-and-Tipranavir-and-Mesoridazine-and-Maprotiline-and-Salmeterol-and-Isoniazid-and-Hydrocodone-and-Pindolol-and-Zaleplon-and-Azelastine-and-Ethinylestradiol-and-Formoterol-and-Doxorubicin-and-Hydroxyurea-and-Cinacalcet-and-Clobetasol propionate-and-Glyburide-and-Minocycline-and-Felodipine-and-Ketoconazole-and-Methoxyflurane-and-Procainamide-and-Tolterodine-and-Selegiline-and-Thalidomide-and-Rifampicin-and-Fluocinonide-and-Nitrendipine-and-Praziquantel-and-Oxybutynin-and-Promethazine-and-Mequitazine-and-Perhexiline-and-Diphenhydramine-and-Atorvastatin-and-Tegaserod-and-Primaquine-and-Dimethyl sulfoxide-and-Fluvastatin-and-Oxamniquine-and-Pimozide-and-Quinacrine-and-Sertraline-and-Miconazole-and-Chlorpheniramine-and-Nifedipine-and-Amiodarone-and-Dutasteride-and-Bicalutamide-and-Rabeprazole-and-Proguanil-and-Carvedilol-and-Doxepin-and-Nefazodone-and-Desipramine-and-Bupropion-and-Cilostazol-and-Itraconazole-and-Moclobemide-and-Orphenadrine-and-Phenobarbital-and-Escitalopram-and-Idarubicin-and-Ifosfamide-and-Propafenone-and-Domperidone-and-Clindamycin-and-Dexfenfluramine-and-Oxymorphone-and-Acebutolol-and-Flecainide-and-Lomustine-and-Levobunolol-and-Clarithromycin-and-Metipranolol-and-Finasteride-and-Anastrozole-and-Halofantrine-and-Budesonide-and-Quetiapine-and-Levacetylmethadol-and-Encainide-and-Paclitaxel-and-Saquinavir-and-Metoclopramide-and-Dexamethasone-and-Aripiprazole-and-Clomipramine-and-Bepridil-and-Docetaxel-and-Dasatinib-and-Lisdexamfetamine-and-Lapatinib-and-Darunavir-and-Paliperidone-and-Sunitinib-and-Arformoterol-and-Bevantolol-and-Practolol-and-St. John's Wort-and-Penbutolol-and-Cortisone acetate-and-Paramethasone-and-Mibefradil-and-Yohimbine-and-Methotrimeprazine-and-Tiotropium-and-Ciclesonide-and-Aminophenazone-and-Aprindine-and-Antipyrine-and-Midomafetamine-and-Ethylmorphine-and-4-Methoxyamphetamine-and-Dihydrocodeine-and-1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine-and-Dextroamphetamine-and-Metamfetamine-and-Oxprenolol-and-Everolimus-and-Solifenacin-and-Zinc-and-Lopinavir-and-Hydroxychloroquine-and-Pipotiazine-and-Thiothixene-and-Zuclopenthixol-and-Etoricoxib-and-N,N-dimethylarginine-and-4R-Fluoro-N6-ethanimidoyl-L-lysine-and-3-Bromo-7-Nitroindazole-and-N-[3-(aminomethyl)benzyl]acetamidine-and-7-Nitroindazole-and-S-Ethylisothiourea-and-Thiocoumarin-and-Ditiocarb-and-N-omega-propyl-L-arginine-and-Nicotinamide-and-Fusidic acid-and-6-Nitroindazole-and-N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine-and-Imidazole-and-N-(4-{2-[(3-chlorobenzyl)amino]ethyl}phenyl)thiophene-2-carboximidamide-and-Phenacetin-and-Thiocitrulline-and-L-erythro-7,8-dihydrobiopterin-and-5-Nitroindazole-and-Iproniazid-and-Lysergic acid diethylamide-and-Debrisoquine-and-Flunarizine-and-Tetrabenazine-and-Celiprolol-and-Dronedarone-and-Dexloxiglumide-and-Nebivolol-and-Nilotinib-and-Lorcaserin-and-Dapoxetine-and-Bicifadine-and-Tesmilifene-and-Oritavancin-and-Clevidipine-and-Ospemifene-and-Iloperidone-and-Lofexidine-and-Azimilide-and-Trabectedin-and-KD7040-and-Fenoxaprop-ethyl-and-Rotigotine-and-Ecallantide-and-Pimagedine-and-Trastuzumab emtansine-and-Abiraterone-and-Cariprazine-and-Cenobamate-and-Sertindole-and-Mianserin-and-Romidepsin-and-Alogliptin-and-Tapentadol-and-Asenapine-and-Vernakalant-and-Rivaroxaban-and-Udenafil-and-Temsirolimus-and-Dapagliflozin-and-Saxagliptin-and-Indisulam-and-Ambrisentan-and-Human C1-esterase inhibitor-and-Doxercalciferol-and-Oxymetholone-and-Armodafinil-and-Cethromycin-and-Repinotan-and-Deramciclane-and-Pazopanib-and-Midostaurin-and-Panobinostat-and-Apixaban-and-Tafenoquine-and-Axitinib-and-Vicriviroc-and-Safinamide-and-Esmirtazapine-and-Vilazodone-and-Mepyramine-and-Artemether-and-Desvenlafaxine-and-Fesoterodine-and-Lumefantrine-and-Bufuralol-and-Sparteine-and-Sulfaphenazole-and-Gestodene-and-Seproxetine-and-Enclomiphene-and-Benzyl alcohol-and-Cabazitaxel-and-Chenodeoxycholic acid-and-Hydroxyprogesterone caproate-and-Phenylbutyric acid-and-Sulconazole-and-5-(4'-AMINO-1'-ETHYL-5',8'-DIFLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLINE]-1-YLCARBONYL)PICOLINONITRILE-and-N-[2-(1,3-BENZODIOXOL-5-YL)ETHYL]-1-[2-(1H-IMIDAZOL-1-YL)-6-METHYLPYRIMIDIN-4-YL]-D-PROLINAMIDE-and-4-({4-[(4-methoxypyridin-2-yl)amino]piperidin-1-yl}carbonyl)benzonitrile-and-(2S)-2-methyl-2,3-dihydrothieno[2,3-f][1,4]oxazepin-5-amine-and-(3R)-3-[(1,2,3,4-tetrahydroisoquinolin-7-yloxy)methyl]-2,3-dihydrothieno[2,3-f][1,4]oxazepin-5-amine-and-4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PYRIMIDINE-and-(3S)-1-(1,3-BENZODIOXOL-5-YLMETHYL)-3-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PIPERIDINE-and-4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]-6-METHYLPYRIMIDINE-and-ETHYL 4-[(4-CHLOROPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE-and-N-[2-(4-AMINO-5,8-DIFLUORO-1,2-DIHYDROQUINAZOLIN-2-YL)ETHYL]-3-FURAMIDE-and-ETHYL 4-[(4-METHYLPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE-and-N-[2-(6-AMINO-4-METHYLPYRIDIN-2-YL)ETHYL]-4-CYANOBENZAMIDE-and-1-(6-CYANO-3-PYRIDYLCARBONYL)-5',8'-DIFLUOROSPIRO[PIPERIDINE-4,2'(1'H)-QUINAZOLINE]-4'-AMINE-and-4-(1H-IMIDAZOL-1-YL)PHENOL-and-1-[4-(AMINOMETHYL)BENZOYL]-5'-FLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLIN]-4'-AMINE-and-Bopindolol-and-Bupranolol-and-Triflusal-and-Ivacaftor-and-Rilpivirine-and-Crizotinib-and-Boceprevir-and-Vemurafenib-and-Perampanel-and-Mirabegron-and-Enzalutamide-and-Ponatinib-and-Fluticasone furoate-and-Glycerol phenylbutyrate-and-Levomilnacipran-and-Perospirone-and-Indenolol-and-Fluprednidene-and-Fluocortolone-and-Befunolol-and-Eliglustat-and-Netupitant-and-Naloxegol-and-Ibrutinib-and-Idelalisib-and-Cannabidiol-and-Cobicistat-and-Vortioxetine-and-Olaparib-and-Umeclidinium-and-Lenvatinib-and-Difluocortolone-and-Daclatasvir-and-Stiripentol-and-Brexpiprazole-and-Dosulepin-and-Butyrfentanyl-and-Dasabuvir-and-Lorpiprazole-and-Arotinolol-and-Melperone-and-Conestat alfa-and-Benidipine-and-Levamlodipine-and-Manidipine-and-Methylene blue-and-Tegafur-and-Propacetamol-and-Rolapitant-and-Paritaprevir-and-Levobetaxolol-and-Meprednisone-and-Dexchlorpheniramine maleate-and-Ixazomib-and-Opium-and-Dipyrithione-and-Dexamethasone isonicotinate-and-Elbasvir-and-Asunaprevir-and-Rupatadine-and-Isavuconazole-and-Artenimol-and-Pitolisant-and-Curcumin-and-Selumetinib-and-Acalabrutinib-and-Tezacaftor-and-Encorafenib-and-Lasmiditan-and-Icotinib-and-Clobetasol-and-Istradefylline-and-Tenapanor-and-Talinolol-and-Anisodamine-and-Osilodrostat-and-Revefenacin-and-Valbenazine-and-Deflazacort-and-Lemborexant-and-Dacomitinib-and-Elagolix-and-Diacerein-and-Abemaciclib-and-Letermovir-and-Lorlatinib-and-Deutetrabenazine-and-Landiolol-and-Triclabendazole-and-Doravirine-and-Rucaparib-and-Copanlisib-and-Fedratinib-and-Mizolastine-and-Ritanserin-and-Bucindolol-and-Gabexate-and-Cortivazol-and-Levosalbutamol-and-Rhein-and-Troleandomycin-and-Prednylidene-and-Ipecac-and-Esatenolol-and-Cloranolol-and-Mepindolol-and-Umifenovir-and-Dexchlorpheniramine-and-Halometasone-and-Epanolol-and-Tertatolol-and-Cloprednol-and-Fluticasone-and-Enasidenib-and-Testosterone cypionate-and-Testosterone enanthate-and-Testosterone undecanoate-and-Estradiol acetate-and-Estradiol benzoate-and-Estradiol cypionate-and-Estradiol dienanthate-and-Estradiol valerate-and-Black cohosh-and-Medical Cannabis-and-5-methoxy-N,N-dimethyltryptamine-and-Nabiximols-and-Clinafloxacin-and-Aripiprazole lauroxil-and-Zinc acetate-and-Mometasone furoate-and-Zinc chloride-and-Hydrocortisone aceponate-and-Hydrocortisone acetate-and-Hydrocortisone butyrate-and-Hydrocortisone cypionate-and-Hydrocortisone phosphate-and-Hydrocortisone probutate-and-Hydrocortisone valerate-and-Zinc sulfate, unspecified form-and-Lanadelumab-and-Prednisolone phosphate-and-Prednisolone hemisuccinate-and-Fluprednidene acetate-and-Curcumin sulfate-and-Methylprednisolone hemisuccinate-and-Prednisone acetate-and-Dexamethasone acetate-and-Clocortolone acetate-and-Melengestrol acetate-and-Betamethasone phosphate-and-Cortisone-and-Remdesivir-and-Ripretinib-and-Upadacitinib-and-Ubrogepant-and-Elexacaftor	699	DB00022-and-DB00082-and-DB00091-and-DB00125-and-DB00151-and-DB00153-and-DB00155-and-DB00157-and-DB00169-and-DB00176-and-DB00182-and-DB00184-and-DB00185-and-DB00187-and-DB00188-and-DB00193-and-DB00195-and-DB00196-and-DB00197-and-DB00199-and-DB00201-and-DB00203-and-DB00206-and-DB00208-and-DB00209-and-DB00211-and-DB00215-and-DB00216-and-DB00220-and-DB00224-and-DB00234-and-DB00238-and-DB00243-and-DB00250-and-DB00252-and-DB00253-and-DB00257-and-DB00259-and-DB00264-and-DB00277-and-DB00278-and-DB00281-and-DB00283-and-DB00285-and-DB00288-and-DB00289-and-DB00297-and-DB00313-and-DB00316-and-DB00317-and-DB00318-and-DB00321-and-DB00324-and-DB00333-and-DB00334-and-DB00335-and-DB00338-and-DB00342-and-DB00343-and-DB00349-and-DB00356-and-DB00361-and-DB00363-and-DB00367-and-DB00370-and-DB00373-and-DB00377-and-DB00379-and-DB00381-and-DB00394-and-DB00396-and-DB00398-and-DB00401-and-DB00404-and-DB00409-and-DB00412-and-DB00420-and-DB00425-and-DB00433-and-DB00439-and-DB00443-and-DB00444-and-DB00446-and-DB00448-and-DB00454-and-DB00455-and-DB00458-and-DB00468-and-DB00472-and-DB00476-and-DB00477-and-DB00482-and-DB00489-and-DB00490-and-DB00494-and-DB00496-and-DB00497-and-DB00499-and-DB00501-and-DB00502-and-DB00503-and-DB00514-and-DB00521-and-DB00528-and-DB00530-and-DB00531-and-DB00532-and-DB00537-and-DB00540-and-DB00541-and-DB00543-and-DB00557-and-DB00564-and-DB00568-and-DB00570-and-DB00571-and-DB00574-and-DB00575-and-DB00582-and-DB00588-and-DB00590-and-DB00592-and-DB00598-and-DB00604-and-DB00608-and-DB00613-and-DB00619-and-DB00620-and-DB00622-and-DB00623-and-DB00624-and-DB00625-and-DB00627-and-DB00633-and-DB00635-and-DB00637-and-DB00641-and-DB00647-and-DB00655-and-DB00656-and-DB00661-and-DB00674-and-DB00675-and-DB00679-and-DB00683-and-DB00688-and-DB00694-and-DB00699-and-DB00700-and-DB00701-and-DB00705-and-DB00706-and-DB00714-and-DB00715-and-DB00726-and-DB00731-and-DB00734-and-DB00737-and-DB00738-and-DB00741-and-DB00745-and-DB00751-and-DB00752-and-DB00755-and-DB00757-and-DB00758-and-DB00762-and-DB00763-and-DB00764-and-DB00773-and-DB00776-and-DB00780-and-DB00783-and-DB00792-and-DB00802-and-DB00805-and-DB00810-and-DB00820-and-DB00822-and-DB00829-and-DB00834-and-DB00836-and-DB00843-and-DB00845-and-DB00850-and-DB00857-and-DB00862-and-DB00863-and-DB00864-and-DB00866-and-DB00877-and-DB00896-and-DB00897-and-DB00904-and-DB00905-and-DB00907-and-DB00908-and-DB00909-and-DB00914-and-DB00916-and-DB00918-and-DB00921-and-DB00924-and-DB00932-and-DB00933-and-DB00934-and-DB00938-and-DB00951-and-DB00956-and-DB00960-and-DB00962-and-DB00972-and-DB00977-and-DB00983-and-DB00997-and-DB01005-and-DB01012-and-DB01013-and-DB01016-and-DB01017-and-DB01023-and-DB01026-and-DB01028-and-DB01035-and-DB01036-and-DB01037-and-DB01041-and-DB01045-and-DB01047-and-DB01054-and-DB01058-and-DB01062-and-DB01069-and-DB01071-and-DB01074-and-DB01075-and-DB01076-and-DB01079-and-DB01087-and-DB01093-and-DB01095-and-DB01096-and-DB01100-and-DB01103-and-DB01104-and-DB01110-and-DB01114-and-DB01115-and-DB01118-and-DB01126-and-DB01128-and-DB01129-and-DB01131-and-DB01136-and-DB01142-and-DB01149-and-DB01151-and-DB01156-and-DB01166-and-DB01167-and-DB01171-and-DB01173-and-DB01174-and-DB01175-and-DB01177-and-DB01181-and-DB01182-and-DB01184-and-DB01190-and-DB01191-and-DB01192-and-DB01193-and-DB01195-and-DB01206-and-DB01210-and-DB01211-and-DB01214-and-DB01216-and-DB01217-and-DB01218-and-DB01222-and-DB01224-and-DB01227-and-DB01228-and-DB01229-and-DB01232-and-DB01233-and-DB01234-and-DB01238-and-DB01242-and-DB01244-and-DB01248-and-DB01254-and-DB01255-and-DB01259-and-DB01264-and-DB01267-and-DB01268-and-DB01274-and-DB01295-and-DB01297-and-DB01323-and-DB01359-and-DB01380-and-DB01384-and-DB01388-and-DB01392-and-DB01403-and-DB01409-and-DB01410-and-DB01424-and-DB01429-and-DB01435-and-DB01454-and-DB01466-and-DB01472-and-DB01551-and-DB01562-and-DB01576-and-DB01577-and-DB01580-and-DB01590-and-DB01591-and-DB01593-and-DB01601-and-DB01611-and-DB01621-and-DB01623-and-DB01624-and-DB01628-and-DB01686-and-DB01835-and-DB01997-and-DB02044-and-DB02207-and-DB02234-and-DB02462-and-DB02520-and-DB02644-and-DB02701-and-DB02703-and-DB03100-and-DB03144-and-DB03366-and-DB03449-and-DB03783-and-DB03953-and-DB04400-and-DB04534-and-DB04818-and-DB04829-and-DB04840-and-DB04841-and-DB04844-and-DB04846-and-DB04855-and-DB04856-and-DB04861-and-DB04868-and-DB04871-and-DB04884-and-DB04889-and-DB04905-and-DB04911-and-DB04920-and-DB04938-and-DB04946-and-DB04948-and-DB04957-and-DB05109-and-DB05214-and-DB05252-and-DB05271-and-DB05311-and-DB05383-and-DB05773-and-DB05812-and-DB06016-and-DB06119-and-DB06144-and-DB06148-and-DB06176-and-DB06203-and-DB06204-and-DB06216-and-DB06217-and-DB06228-and-DB06267-and-DB06287-and-DB06292-and-DB06335-and-DB06370-and-DB06403-and-DB06404-and-DB06410-and-DB06412-and-DB06413-and-DB06419-and-DB06506-and-DB06512-and-DB06589-and-DB06595-and-DB06603-and-DB06605-and-DB06608-and-DB06626-and-DB06652-and-DB06654-and-DB06678-and-DB06684-and-DB06691-and-DB06697-and-DB06700-and-DB06702-and-DB06708-and-DB06726-and-DB06727-and-DB06729-and-DB06730-and-DB06731-and-DB06735-and-DB06770-and-DB06772-and-DB06777-and-DB06789-and-DB06819-and-DB06820-and-DB06879-and-DB06916-and-DB07002-and-DB07003-and-DB07007-and-DB07008-and-DB07011-and-DB07029-and-DB07306-and-DB07318-and-DB07388-and-DB07389-and-DB07405-and-DB08214-and-DB08750-and-DB08807-and-DB08808-and-DB08814-and-DB08820-and-DB08864-and-DB08865-and-DB08873-and-DB08881-and-DB08883-and-DB08893-and-DB08899-and-DB08901-and-DB08906-and-DB08909-and-DB08918-and-DB08922-and-DB08952-and-DB08970-and-DB08971-and-DB09013-and-DB09039-and-DB09048-and-DB09049-and-DB09053-and-DB09054-and-DB09061-and-DB09065-and-DB09068-and-DB09074-and-DB09076-and-DB09078-and-DB09095-and-DB09102-and-DB09118-and-DB09128-and-DB09167-and-DB09173-and-DB09183-and-DB09195-and-DB09204-and-DB09224-and-DB09228-and-DB09231-and-DB09237-and-DB09238-and-DB09241-and-DB09256-and-DB09288-and-DB09291-and-DB09297-and-DB09351-and-DB09383-and-DB09555-and-DB09570-and-DB11130-and-DB11327-and-DB11487-and-DB11574-and-DB11586-and-DB11614-and-DB11633-and-DB11638-and-DB11642-and-DB11672-and-DB11689-and-DB11703-and-DB11712-and-DB11718-and-DB11732-and-DB11737-and-DB11750-and-DB11757-and-DB11761-and-DB11770-and-DB11785-and-DB11837-and-DB11855-and-DB11915-and-DB11921-and-DB11951-and-DB11963-and-DB11979-and-DB11994-and-DB12001-and-DB12070-and-DB12130-and-DB12161-and-DB12212-and-DB12245-and-DB12301-and-DB12332-and-DB12483-and-DB12500-and-DB12523-and-DB12693-and-DB12752-and-DB12831-and-DB13003-and-DB13139-and-DB13174-and-DB13179-and-DB13208-and-DB13293-and-DB13443-and-DB13508-and-DB13530-and-DB13609-and-DB13679-and-DB13728-and-DB13757-and-DB13775-and-DB13843-and-DB13867-and-DB13874-and-DB13943-and-DB13944-and-DB13946-and-DB13952-and-DB13953-and-DB13954-and-DB13955-and-DB13956-and-DB13975-and-DB14009-and-DB14010-and-DB14011-and-DB14025-and-DB14185-and-DB14487-and-DB14512-and-DB14533-and-DB14538-and-DB14539-and-DB14540-and-DB14541-and-DB14542-and-DB14543-and-DB14544-and-DB14548-and-DB14597-and-DB14631-and-DB14633-and-DB14634-and-DB14635-and-DB14644-and-DB14646-and-DB14649-and-DB14652-and-DB14659-and-DB14669-and-DB14681-and-DB14761-and-DB14840-and-DB15091-and-DB15328-and-DB15444	CYP2D6-and-CYP27A1-and-CYP3A5-and-NOS2-and-CDO1-and-KLKB1	Amlodipine-and-Niacin-and-Simvastatin-and-Atorvastatin-and-Rivaroxaban
nucleoside diphosphate phosphorylation	3	-3.91073806218596	9.20145178090537e-05	0.0114270529304119	NME7,AK8,NME4	Adrenal_Gland	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Bis(Adenosine)-5'-Pentaphosphate	1	DB01717	AK8	
GTP biosynthetic process	2	-3.45073559442714	0.000559060982516801	0.0333137044319612	NME7,NME4	Adrenal_Gland	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
acrosome reaction	4	-3.95163696376585	7.76184280701994e-05	0.0102818544383658	ROPN1B,AKAP3,STX2,PKDREJ	Adrenal_Gland	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
apoptotic mitochondrial changes	2	-3.70907917085453	0.000208014382632955	0.0217539251732464	GCLC,BID	Adrenal_Gland	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Glutamic acid-and-Cysteine-and-Vitamin E-and-alpha-Tocopherol succinate-and-D-alpha-Tocopherol acetate	5	DB00142-and-DB00151-and-DB00163-and-DB14001-and-DB14002	GCLC	
regulation of actin filament polymerization	2	-3.99536258274296	6.45953162850347e-05	0.00972047309046251	ARPC5,ARPC5L	Adrenal_Gland	FALSE	pathway P < genes P & genes FDR > 0.05	GO	N-[2-(2-methyl-1H-indol-3-yl)ethyl]thiophene-2-carboxamide-and-(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one	2	DB08235-and-DB08236	ARPC5	
signal transduction in response to DNA damage	2	-4.3359355888788	1.45141444148793e-05	0.00720990123809127	CEP63,BID	Adrenal_Gland	FALSE	pathway P < genes P & genes FDR > 0.05	GO		0			
regulation of kinase activity	2	3.34394942889756	0.000825947919137832	0.0443556355493749	SLAMF8,NLRC5	Adrenal_Gland	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
Rho guanyl-nucleotide exchange factor activity	17	3.52478038266273	0.000423834015790368	0.0309300265476785	ARHGEF19,NGEF,ALS2CL,ARHGEF26,MCF2L2,RASGRF2,PREX2,ARHGEF39,FGD3,NET1,FGD6,ARHGEF7,MCF2L,ARHGEF40,ARHGEF1,PREX1,BCR	Artery_Aorta	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Imatinib-and-Dasatinib-and-Bosutinib-and-Ponatinib	4	DB00619-and-DB01254-and-DB06616-and-DB08901	BCR	
